dataset,random_state,sensitive,accuracy,auc,dp_diff,eo_diff
Adult,1015,race,0.8476799475323824,0.902345620956335,0.16136426342933546,0.12767295597484274
Adult,1015,marital-status,0.8474340055746844,0.9012320351280241,0.36703982726864953,0.6265060240963856
Adult,1015,relationship,0.8478439088375144,0.9011508849923371,0.3885946770375263,0.4638467295315073
Adult,1016,sex,0.852762747991474,0.902741387049051,0.18096638420890382,0.08117529652710886
Adult,1016,race,0.851860960813248,0.9032028188644814,0.20762411347517729,0.17961165048543692
Adult,1016,marital-status,0.8514510575504181,0.9022511641916214,0.397731364782139,0.650767987065481
Adult,1016,relationship,0.8524348253812101,0.9022210812438911,0.40405950276655983,0.40563614995740555
Adult,1017,sex,0.8497294638465323,0.9026704245128409,0.17878260212657462,0.09958417457873459
Adult,1017,race,0.8501393671093622,0.9035612488815787,0.18243858748484482,0.2056390977443609
Adult,1017,marital-status,0.8491555992785702,0.9024192411271916,0.4085323278871666,0.6477272727272727
Adult,1017,relationship,0.8498934251516642,0.9020183074115524,0.4080952380952381,0.41727982162764765
Adult,1018,sex,0.852270864076078,0.9087561679270746,0.16875137569072574,0.1005727634263176
Adult,1018,race,0.8519429414658141,0.9090655239821999,0.15170439050995366,0.16165048543689314
Adult,1018,marital-status,0.8509591736350222,0.9079440390731351,0.5549342336639235,0.5066666666666666
Adult,1018,relationship,0.852680767338908,0.9070919349647274,0.4074242303721595,0.4609041118625783
Adult,1019,sex,0.8484997540580423,0.9030427702002379,0.17601803964139986,0.09020630702806942
Adult,1019,race,0.8493195605837023,0.9036966590579572,0.11479204075078936,0.2129210658622423
Adult,1019,marital-status,0.8494015412362682,0.9027196461211824,0.382393248088001,0.642315369261477
Adult,1019,relationship,0.8480078701426463,0.9017011814662464,0.4071065074291791,0.3864326282804543
Adult,1020,sex,0.8456304312182324,0.8997941071381115,0.18125065952620648,0.10086743395416609
Adult,1020,race,0.8475159862272503,0.9008996462392993,0.19136960600375236,0.30860805860805857
Adult,1020,marital-status,0.8461223151336285,0.9003715151765702,0.3739317040927524,0.44791666666666663
Adult,1020,relationship,0.8455484505656665,0.8981232670007413,0.4052224065220455,0.39939558701580713
Adult,1021,sex,0.8511231349401541,0.9069715108948257,0.18128717681260406,0.12024848941482363
Adult,1021,race,0.8515330382029841,0.9078054175882261,0.14762135922330094,0.1633663366336634
Adult,1021,marital-status,0.8509591736350222,0.9071181606510614,0.38486206652582106,0.7664670658682635
Adult,1021,relationship,0.8513690768978521,0.906027109349854,0.40913990022351404,0.389229701410857
Adult,1022,sex,0.854320380390228,0.9065942928772439,0.1888145889838058,0.1387987012987013
Adult,1022,race,0.8539924577799639,0.9070330240634054,0.20118712902218058,0.2888888888888889
Adult,1022,marital-status,0.8537465158222659,0.9060873859800914,0.4187675070028011,0.6
Adult,1022,relationship,0.853172651254304,0.9049264425788506,0.42776227974917036,0.488090999381594
Adult,1023,sex,0.852270864076078,0.9010940965075728,0.16967875224026602,0.08723784686206526
Adult,1023,race,0.852680767338908,0.9020338287361174,0.1426815132249113,0.16677440206851968
Adult,1023,marital-status,0.8516969995081161,0.9012176765186168,0.3657432734382604,0.3892100192678227
Adult,1023,relationship,0.8516150188555501,0.8998323844593337,0.39237848418462995,0.424969806763285
Adult,1024,sex,0.8471880636169864,0.9014209671132477,0.17508029592948998,0.11247790738776953
Adult,1024,race,0.8480898507952124,0.9025626795748966,0.1596597919971796,0.1357142857142858
Adult,1024,marital-status,0.8475159862272503,0.9008316366304737,0.38123562201380284,0.3873098478783027
Adult,1024,relationship,0.8475159862272503,0.9002425645288454,0.40301140758943954,0.4238707554534721
Adult,1025,sex,0.8508771929824561,0.9059569773244706,0.16818958554845015,0.08526890825357014
Adult,1025,race,0.8506312510247581,0.9063784707970246,0.16611591035248402,0.20138888888888895
Adult,1025,marital-status,0.8512870962452861,0.90620672115802,0.5822222222222222,0.7777777777777778
Adult,1025,relationship,0.8511231349401541,0.9048718134222361,0.397012332801099,0.3466604155540928
Adult,1026,sex,0.8511231349401541,0.9062466595008962,0.17689646407112217,0.1019805326675699
Adult,1026,race,0.8508771929824561,0.9066284361001278,0.18114701999706645,0.29432624113475175
Adult,1026,marital-status,0.8502213477619281,0.9053809719265192,0.539092597211829,0.5635234330886505
Adult,1026,relationship,0.8514510575504181,0.9042500376498241,0.4021514835254374,0.40760324086869243
Adult,1027,sex,0.8553861288735858,0.9050008563489413,0.1816469837110708,0.12211857998213577
Adult,1027,race,0.8553861288735858,0.9051927228057535,0.147390180878553,0.25139318885448914
Adult,1027,marital-status,0.854320380390228,0.9033041042737718,0.3859116138255824,0.45439999999999997
Adult,1027,relationship,0.8538284964748319,0.9043843220226371,0.40689129692174764,0.4583616479082607
Adult,1028,sex,0.852352844728644,0.9046629307213707,0.1772438639205106,0.12583462783291494
Adult,1028,race,0.852680767338908,0.9056627550221913,0.15355173553396098,0.23598412972227012
Adult,1028,marital-status,0.8524348253812101,0.9051224800455931,0.3725854645906916,0.40774912573905064
Adult,1028,relationship,0.8535825545171339,0.9035297448375446,0.39867362470102197,0.4603603603603603
Adult,1029,sex,0.852106902770946,0.9041586814588642,0.1728301461432788,0.0879074721351315
Adult,1029,race,0.8519429414658141,0.9049360395928504,0.14297791302015983,0.20833333333333331
Adult,1029,marital-status,0.8516969995081161,0.9041167498900035,0.3702894169497458,0.6344772545889864
Adult,1029,relationship,0.85284472864404,0.9037338290314102,0.3949824956197253,0.4519784172661871
